benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,-3.2659144131854602e-18,7.10276259480997e-34,2.1467940029759456e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,-0.06921145447594888,0.02792163789760714,0.1049469344782401,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,0.2211178367120423,0.07085429803542981,0.268035142363979,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,-6.2977922636714664e-18,3.931812093487248e-34,1.5052198266112968e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,0.02654036771780681,0.007125088053192012,0.07024810779620232,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.022138584140729462,0.0004247255894437392,0.022138584140729462,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,-0.02718358525684258,0.0011330626019564593,0.03281618387926337,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,-0.02057613310428935,0.016558322857556956,0.0920402605982833,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.03841406194270677,0.009706240111323663,0.06292080739864674,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,0.023029078115142744,0.00590279652681366,0.0645330294033034,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,0.023827381099421084,0.00208450089761357,0.03815941394230841,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.01370743147237328,0.00030610132299019804,0.017123807091259494,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,0.0477137304186751,0.0005041464246323016,0.0477137304186751,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,-0.010968266165011495,9.875024570526328e-05,0.010968266165011495,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,-0.04075360187621666,8.191552263468174e-05,0.04075360187621666,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,-0.010206470472251313,0.0012313911992622585,0.02359990728560457,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,0,RX,0,12,layer_001_wire_000_RX,3,0.004230285857005936,0.0012872935486221153,0.02761252418115213,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,0,RY,1,13,layer_001_wire_000_RY,3,0.031232015202612207,0.003139238197013324,0.05091461931589205,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,0,RZ,2,14,layer_001_wire_000_RZ,3,-9.668728250728151e-18,2.6649553489524716e-34,1.5767483398812494e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,1,RX,0,15,layer_001_wire_001_RX,3,-0.029590200219752158,0.0018545971598169352,0.029590200219752155,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,1,RY,1,16,layer_001_wire_001_RY,3,-0.042787275259463076,0.0014994466490788666,0.04290604308453449,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,1,RZ,2,17,layer_001_wire_001_RZ,3,4.6287509292631835e-18,4.624116055734956e-35,5.903950982116601e-18,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,2,RX,0,18,layer_001_wire_002_RX,3,0.002844816914812087,0.00046565632787526123,0.01464401395420214,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,2,RY,1,19,layer_001_wire_002_RY,3,0.028752050132992667,0.0006268268935977527,0.02875205013299267,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,2,RZ,2,20,layer_001_wire_002_RZ,3,-2.2683797824538028e-18,6.861859142260615e-35,5.393556024635912e-18,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,3,RX,0,21,layer_001_wire_003_RX,3,-0.014439205756718894,0.00026387858865564294,0.01611754332527252,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,1,3,RY,1,22,layer_001_wire_003_RY,3,0.008356911260621703,0.0025270927168635814,0.03514359537209783,0.0
